"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IER3",409.997758448256,-0.0701572861289158,0.0104029377941664,-6.74398785391733,1.54097427291707e-11,2.87345472670847e-07
"RBPMS2",33.7758971138203,0.129267734521874,0.0229289200454402,5.63775940016771,1.72276979094007e-08,0.000160622441458298
"RASD1",1000.19801694663,0.0937811489576105,0.0175955064531515,5.32983516031808,9.83019489017603e-08,0.000611012147057041
"IER3-AS1",41.6095781372221,-0.0507889711663688,0.0100167793290191,-5.07038934353185,3.97002691381258e-07,0.00155093349511001
"RPL19P21",11.5007776469912,-0.0505071259735447,0.00998618394985968,-5.05770034150577,4.24342534304796e-07,0.00155093349511001
"HSPA2",111.68447922391,-0.0784796632004171,0.0156126189655792,-5.02668151790803,4.99040112117771e-07,0.00155093349511001
"NINJ1",689.30980289897,-0.0462157873588847,0.00948455149600683,-4.87274357446869,1.10059035533378e-06,0.00293181547941558
"HCAR3",189.740373839036,-0.0498694723051316,0.0103915847869421,-4.79902472313911,1.59440114333636e-06,0.00332816550464672
"RPS2P8",218.996796026869,-0.0368394400787303,0.00767883516100123,-4.79752974329076,1.60634362320054e-06,0.00332816550464672
"ATF3",1490.22523367132,-0.0815231576593898,0.0173009075148438,-4.71207406833687,2.4520821612383e-06,0.00451586200827951
"CISH",194.962068897269,-0.0362412001650019,0.00775604524687878,-4.67263908492363,2.97354021609514e-06,0.00451586200827951
"RGPD1",17675.2210240208,-0.0767060036343475,0.0164400613930417,-4.6657978824102,3.0742177492295e-06,0.00451586200827951
"HCAR2",124.768614066786,-0.0524444071870177,0.0112550522613999,-4.65963248939144,3.16774449883564e-06,0.00451586200827951
"RGPD2",20467.0598041135,-0.0804462091866983,0.0173165489977221,-4.64562593835992,3.3904686070635e-06,0.00451586200827951
"FSCN1",145.364282735684,-0.0487316655049357,0.0106115938984336,-4.59230403757996,4.38379080455727e-06,0.00544963647550529
"RPL15P18",37.5866752035574,-0.0327956518864474,0.00718138573929128,-4.56675815462936,4.95324926115563e-06,0.00577270243579807
"RPS10P2",39.4154180117653,-0.0413126483896876,0.00908177385355895,-4.54896246656683,5.39110565591605e-06,0.00591340865681568
"FKBPL",81.0406267423865,-0.0263552054529289,0.00582305813879604,-4.52600761056081,6.010841605649e-06,0.0062268979678076
"PCDHB14",50.7904159962637,0.0555963762009453,0.0124534022667519,4.4643523922275,8.03112920750638e-06,0.00744125231208201
"RGPD4",4191.00021989005,-0.0519730213330055,0.011660927783226,-4.45702282864385,8.31057560746562e-06,0.00744125231208201
"CREM",1590.93592159758,-0.0353641147288477,0.00793765888060807,-4.45523236268609,8.38023803044577e-06,0.00744125231208201
"RPS9P2",1372.1152716972,-0.0222611087300394,0.00506005975648953,-4.3993766479713,1.08562263766588e-05,0.00896853079897559
"DEPP1",261.705953573457,0.0527989163514772,0.0120125949299646,4.3952964916659,1.10621659450013e-05,0.00896853079897559
"G0S2",292.130446783224,-0.0790956577008751,0.018316952966505,-4.3181667739996,1.57330532424832e-05,0.0122239268255243
"STK3",485.124852097356,0.0330291923054489,0.00767636329716706,4.30271354114235,1.68718928907663e-05,0.0125844074693648
"RASGEF1A",258.469260964312,0.0402282436071588,0.00941934166445264,4.27081265763774,1.94761966130005e-05,0.0139681783939469
"IGHV4-59",817.922733299316,0.0904523124756307,0.0213317759431851,4.24026169769179,2.23259343584524e-05,0.0154189517771134
"UBE2S",1743.61485699468,-0.0336302284291142,0.00797483687773492,-4.21704279908308,2.47527008838282e-05,0.016484414763598
"PPP1R9A",3094.79043275391,0.108257884086611,0.0260912338489722,4.14920523549237,3.33631590580639e-05,0.0214525112743351
"RGPD3",4231.89647511336,-0.0413478126377854,0.0100207020178753,-4.12623911618445,3.68743870365718e-05,0.0226680647035259
"RARA-AS1",172.424873158437,-0.039925213320676,0.00968768474801885,-4.12123374770642,3.76848825982358e-05,0.0226680647035259
"RN7SKP275",3.13311235251964,0.155222528391406,0.0378407020880608,4.1019991656122,4.09595750721947e-05,0.0238679123866004
"PLK3",7260.76043658488,-0.0203123425253512,0.00498090045413104,-4.07804627143364,4.54157293545514e-05,0.0250963292107971
"TNFAIP3",19020.287333151,-0.0197096342062004,0.00483518601394713,-4.07629285602411,4.57593818398188e-05,0.0250963292107971
"RPSAP17",127.820828126772,-0.0201514888271872,0.00497472117231494,-4.05077754695746,5.10477204234e-05,0.0263599940055098
"IER5L",25.2208649395541,-0.0681004124673621,0.0168351646704493,-4.04512897856582,5.22943252323312e-05,0.0263599940055098
"ZNF574",2395.81154374742,-0.0189192747614609,0.00467710313270073,-4.0450839386422,5.23043802329523e-05,0.0263599940055098
"STK32B",477.615860559559,0.105813817010278,0.0262111406595616,4.03697871773763,5.41439784740458e-05,0.0265690201738298
"MCF2",476.21882439632,0.0204788549061904,0.00508771692619588,4.02515611683267,5.69375293584485e-05,0.0272234387165895
"TNF",1116.71675090752,-0.0473782547291031,0.0118083151949149,-4.01227897011979,6.01353752327051e-05,0.0280336085491063
"FMN1",529.459229133851,-0.066787080415325,0.0167133026115602,-3.99604326969643,6.44099663105597e-05,0.0292939668730002
"DUSP4",1342.29054446948,-0.0577033196392657,0.0146528257251305,-3.9380335726167,8.21521021474826e-05,0.0351607822340898
"IL7R",786.069479328047,-0.0604293592083932,0.0153519533549857,-3.93626516516011,8.27595266658692e-05,0.0351607822340898
"SESN2",336.707283529945,-0.0289096122349829,0.00735642790617975,-3.92984375075537,8.5001078718055e-05,0.0351607822340898
"CCDC184",10.3123998886358,-0.0952289161679599,0.0242402130603895,-3.92855112002178,8.5459186018691e-05,0.0351607822340898
"NUAK2",7247.18215680943,0.0262554194955272,0.00668931602949792,3.92497818607291,8.67375976172109e-05,0.0351607822340898
"RPL18P4",8.48090127895308,-0.0547723361275027,0.0139785303550931,-3.91831864553245,8.91687803087591e-05,0.0353772392854773
"ARLNC1",30.011290606275,0.0925400853325508,0.0237649189382274,3.8939785813321,9.86133607505541e-05,0.0383092362065746
"RARA",5845.79657823014,-0.02671862929958,0.00690829089486966,-3.86761786760054,0.000109903710314498,0.0418239691068254
"VASN",50.7023730351144,-0.0423280537118512,0.0110338017991005,-3.836216608069,0.000124944218957037,0.0454486533614456
"ADAM12",35.0285341606219,-0.0453070892546217,0.0118329598263688,-3.8288889609562,0.000128723064677269,0.0454486533614456
"KLF4",6028.62037553922,-0.0711740281152546,0.018592009116415,-3.82820531496053,0.000129081059252025,0.0454486533614456
"TOB2",6206.68564347623,-0.0237954845911762,0.00621613242389508,-3.82802086064083,0.000129177810272785,0.0454486533614456
"MRPS2",2556.99715346485,-0.0168299185510365,0.00441461712088251,-3.81231669478782,0.000137670322668052,0.0475396019776142
"KDM6B",16041.3079902732,-0.023295677887149,0.00612241221320251,-3.8049835711672,0.000141813603049487,0.0480799682920686
"SERTAD1",1250.85026868343,-0.0356066308147096,0.00936943689157189,-3.80029570899175,0.000144523522164303,0.0481237521035315
